Title,Director,Cast,Genre,Release Date
JANUARY,2,The Mummy Murders,Gravitas Ventures,"Colin Bressler (director/screenplay); Will Donahue (screenplay); Leila Annastasia Scott, Jason Scarbrough, Jeff Caperton, Will Donahue, Aimee Michelle, Destiny Soria, Cole Springer, Isak Tufic"
3,Self Reliance,Neon/Hulu/MRC/Paramount Global Content Distribution,"Jake Johnson(director/screenplay); Jake Johnson,Anna Kendrick,Natalie Morales,Mary Holland,Emily Hampshire,Christopher Lloyd,Wayne Brady,Andy Samberg",[4]
4,DarkGame,Gravitas Ventures,"Howard J. Ford(director); Gary Grant,Niall Johnson(screenplay);Ed Westwick, Andrew P. Stephen, Natalya Tsvetkova, Lola Wayne, Rory Alexander,Rose Reynolds",[5]
5,Night Swim,Universal Pictures/Blumhouse Productions/Atomic Monster,"Bryce McGuire (director/screenplay);Wyatt Russell,Kerry Condon, Amélie Hoeferle,Gavin Warren",[6]
12,The Beekeeper,Metro-Goldwyn-Mayer/Miramax,"David Ayer(director);Kurt Wimmer(screenplay);Jason Statham,Emmy Raver-Lampman,Josh Hutcherson, Bobby Naderi,Minnie Driver,Phylicia Rashad,Jeremy Irons",[13]
17,Wanted Man,Quiver Distribution/Millennium Media,"Dolph Lundgren(director/screenplay);Michael Worth, Hank Hughes (screenplay); Dolph Lundgren,Kelsey Grammer, Christina Villa,Michael Paré,Roger Cross",[21]
19,I.S.S.,Bleecker Street/LD Entertainment,"Gabriela Cowperthwaite(director); Nick Shafir (screenplay);Ariana DeBose,Chris Messina,John Gallagher Jr.,Masha Mashkova,Costa Ronin,Pilou Asbæk",[22]
23,Murder and Cocktails,905 Productions / Vision Films,"Henry Barrial (director); Ron Jackson (screenplay); Jason Bernardo, Jessicah Neufeld,Colleen O'Shaughnessey, Ricardo Molina,Lucy Boryer, Brian Lally, Nerissa Tedesco,Caroline Amiguet,Jeff Nimoy",[27]
24,Beautiful Wedding,Voltage Pictures/Wattpad Studios,"Roger Kumble(director/screenplay);Jamie McGuire(screenplay);Dylan Sprouse,Virginia Gardner,Libe Barer,Austin North, Neil Bishop,Alex Aiono, Micky Dartford, Jack Hesketh, Declan Laird, Trevor Van Uden",[28]
26,Miller's Girl,Lionsgate/Point Grey Pictures,"Jade Halley Bartlett (director/screenplay);Martin Freeman,Jenna Ortega,Dagmara Domińczyk,Bashir Salahuddin,Christine Adams,Gideon Adlon",[29]
30,There Is a Monster,Gravitas Ventures,"Mike Taylor (director/screenplay); Joey Collins, Ena O'Rourke, Jesse Milliner, MerryRose Howley",[36]
FEBRUARY,2,Argylle,Universal Pictures/Apple Studios/Marv Studios,"Matthew Vaughn(director);Jason Fuchs(screenplay);Bryce Dallas Howard,Sam Rockwell,Bryan Cranston,Catherine O'Hara,Henry Cavill,Sofia Boutella,Dua Lipa,Ariana DeBose,John Cena,Samuel L. Jackson"
9,Lisa Frankenstein,Focus Features,"Zelda Williams(director);Diablo Cody(screenplay);Kathryn Newton,Cole Sprouse,Liza Soberano, Henry Eikenberry,Joe Chrest,Carla Gugino",[46]
13,ElemenTory,Vision Films,"Terrence Arlyn (director/screenplay); Shaun Paul Costello, Juliette Valdez,Big Daddy Kane,Glenn Plummer, Charles W Harris III",[51]
14,Bob Marley: One Love,Paramount Pictures/Plan B Entertainment/Tuff Gong Pictures,"Reinaldo Marcus Green(director/screenplay);Zach Baylin,Frank E. Flowers,Terence Winter(screenplay);Kingsley Ben-Adir,Lashana Lynch,James Norton",[14]
16,This Is Me... Now: A Love Story,Amazon MGM Studios/Nuyorican Productions,"Dave Meyers(director);Jennifer Lopez(screenplay); Jennifer Lopez,Joe Cartagena,Kim Petras,Austin Post,Sofía Vergara,Jenifer Lewis,Jay Shetty,Neil deGrasse Tyson,Sadhguru,Derek Hough,Ben Affleck",[57]
22,"Lovely, Dark, and Deep",XYZ Films,"Teresa Sutherland (director/screenplay);Georgina Campbell,Nick Blood,Wai Ching Ho",[63]
23,Drive-Away Dolls,Focus Features/Working Title Films,"Ethan Coen(director/screenplay);Tricia Cooke(screenplay);Margaret Qualley,Geraldine Viswanathan,Beanie Feldstein,Colman Domingo,Pedro Pascal,Bill Camp,Matt Damon",[64]
24,Blue Christmas,Dreampost Media,"Max Allan Collins(director/screenplay); Rob Merritt, Alisabeth Von Presley, Chris Causey",[70]
27,The Neon Highway,Sessions Production Payroll / Mountain Movies,"William Wages (director/screenplay); Phillip Rob Bellury (screenplay);Rob Mayes,Beau Bridges,Sam Hennings,T.J. Power,Lee Brice,Pam Tillis",[71]
MARCH,1,Dune: Part Two,Warner Bros. Pictures/Legendary Pictures,"Denis Villeneuve(director/screenplay);Jon Spaihts,Eric Roth(screenplay);Timothée Chalamet,Zendaya,Rebecca Ferguson,Josh Brolin,Austin Butler,Florence Pugh,Dave Bautista,Christopher Walken,Léa Seydoux,Souheila Yacoub,Stellan Skarsgård,Charlotte Rampling,Javier Bardem"
7,Ricky Stanicky,Amazon MGM Studios,"Peter Farrelly(director/screenplay); Brian Jarvis, James L. Freeman,Jeffrey Bushell,Steve Oedekerk(screenplay);Zac Efron,John Cena,Jermaine Fowler,Andrew Santino,Lex Scott Davis,William H. Macy",[78]
8,Kung Fu Panda 4,Universal Pictures/DreamWorks Animation,"Mike Mitchell(director);Jonathan Aibel, Glenn Berger,Darren Lemke(screenplay);Jack Black,Awkwafina,Bryan Cranston,James Hong,Ian McShane,Ke Huy Quan,Dustin Hoffman,Viola Davis",[80]
11,The Primevals,Full Moon Entertainment/Castel Film Romania,"David W. Allen(director/screenplay);Randall William Cook(screenplay); Richard Joseph Paul,Juliet Mills,Leon Russom, Walker Brandt,Robert Cornthwaite",[89]
13,Little Wing,Paramount+/Awesomeness Films,"Dean Israelite(director);John Gatins(screenplay);Brian Cox,Kelly Reilly,Brooklynn Prince, Che Tafari, Lowell Deo,Trinity Jo-Li Bliss",[90]
15,Arthur the King,Lionsgate/Entertainment One/Tucker Tooley Entertainment,"Simon Cellan Jones(director);Michael Brandt(screenplay);Mark Wahlberg,Simu Liu,Juliet Rylance,Nathalie Emmanuel,Ali Suliman,Bear Grylls,Paul Guilfoyle",[91]
19,Bardejov,Gravitas Ventures,"Danny A. Abeckaser(director); Shmuel Lynn (screenplay); Danny A. Abeckaser, Julian Brass,Robert Davi, Kyle Stefanski, Dean Miroshnikov, Darren Weiss, Omer Hazan",[99]
21,Road House,Amazon Prime Video/Metro-Goldwyn-Mayer/Silver Pictures,"Doug Liman(director); Anthony Bagarozzi,Chuck Mondry(screenplay);Jake Gyllenhaal,Daniela Melchior,Billy Magnussen,Jessica Williams,Darren Barnet,Arturo Castro,J.D. Pardo,Conor McGregor",[78]
22,Ghostbusters: Frozen Empire,Columbia Pictures/Ghost Corps/TSG Entertainment,"Gil Kenan(director/screenplay);Jason Reitman(screenplay);Paul Rudd,Carrie Coon,Finn Wolfhard,Mckenna Grace,Kumail Nanjiani,Patton Oswalt,Celeste O'Connor, Logan Kim,Emily Alyn Lind,James Acaster,Bill Murray,Dan Aykroyd,Ernie Hudson,Annie Potts,William Atherton",[101]
26,Easter Bloody Easter,WallyBird Productions,"Diane Foster (director); Allison Lobel (screenplay); Miles Cooper, Diane Foster, Kelly Grant, Allison Lobel, Zuri Starks, D'Andre Noiré",[109]
29,Godzilla x Kong: The New Empire,Warner Bros. Pictures/Legendary Pictures,"Adam Wingard(director);Terry Rossio,Simon Barrett,Jeremy Slater(screenplay);Rebecca Hall,Brian Tyree Henry,Dan Stevens,Kaylee Hottle,Alex Ferns,Fala Chen",[110]
APRIL,4,Música,Amazon MGM Studios/Wonderland Sound and Vision,"Rudy Mancuso(director/screenplay);Dan Lagana(screenplay); Rudy Mancuso,Camila Mendes,J.B. Smoove,Francesca Reale, Maria Mancuso"
5,The First Omen,20th Century Studios/TSG Entertainment,"Arkasha Stevenson(director/screenplay); Tim Smith,Keith Thomas(screenplay);Nell Tiger Free,Tawfeek Barhom,Sônia Braga,Ralph Ineson,Bill Nighy,Charles Dance",[114]
12,Civil War,A24/DNA Films/IPR.VC,"Alex Garland(director/screenplay);Kirsten Dunst,Wagner Moura,Cailee Spaeny,Stephen McKinley Henderson,Sonoya Mizuno,Nick Offerman,Jesse Plemons",[123]
19,Abigail,Universal Pictures/Radio Silence Productions,"Matt Bettinelli-Olpin,Tyler Gillett(directors); Stephen Sheilds,Guy Busick(screenplay);Melissa Barrera,Dan Stevens,Kathryn Newton,Will Catlett,Kevin Durand,Angus Cloud,Alisha Weir,Giancarlo Esposito",[134]
23,Downtown Owl,Stage 6 Films,"Hamish Linklater,Lily Rabe(directors); Hamish Linklater (screenplay); Lily Rabe,Ed Harris,Vanessa Hudgens, August Blanco Rosenstein,Jack Dylan Grazer, Arianna Jaffier,Finn Wittrock,Henry Golding",[141]
26,Challengers,Metro-Goldwyn-Mayer/Frenesy Film Company/Pascal Pictures,"Luca Guadagnino(director);Justin Kuritzkes(screenplay);Zendaya,Josh O'Connor,Mike Faist",[142]
MAY,2,The Idea of You,Amazon MGM Studios,"Michael Showalter(director/screenplay);Jennifer Westfeldt(screenplay);Anne Hathaway,Nicholas Galitzine"
3,The Fall Guy,Universal Pictures/87North Productions,"David Leitch(director);Drew Pearce(screenplay);Ryan Gosling,Emily Blunt,Aaron Taylor-Johnson,Hannah Waddingham,Teresa Palmer,Stephanie Hsu,Winston Duke",[151]
9,Mother of the Bride,Netflix/Living Films,"Mark Waters(director);Robin Bernheim(screenplay);Brooke Shields,Miranda Cosgrove,Benjamin Bratt,Chad Michael Murray,Rachael Harris",[159]
10,Kingdom of the Planet of the Apes,20th Century Studios/TSG Entertainment,"Wes Ball(director);Josh Friedman(screenplay);Owen Teague,Freya Allan,Kevin Durand,Peter Macon,William H. Macy",[160]
17,IF,Paramount Pictures/Sunday Night Productions/Maximum Effort,"John Krasinski(director/screenplay);Cailey Fleming,Ryan Reynolds, John Krasinski,Fiona Shaw,Phoebe Waller-Bridge,Louis Gossett Jr.,Alan Kim,Liza Colón-Zayas,Steve Carell",[167]
21,Darkness of Man,Saban Films,"James Cullen Bressack(director/screenplay); Alethea Hnatko-Cho (screenplay);Jean-Claude Van Damme,Kristanna Loken, Emerson Min,Spencer Breslin,Sticky Fingaz,Shannen Doherty",[174]
24,Furiosa: A Mad Max Saga,Warner Bros. Pictures/Kennedy Miller Mitchell,"George Miller(director/screenplay);Nico Lathouris(screenplay);Anya Taylor-Joy,Chris Hemsworth,Tom Burke,Alyla Browne",[176]
28,The Legend of Catclaws Mountain,Lionsgate Home Entertainment,"Ritchie Greer (director/screenplay); Bob Lee Dysinger (screenplay); Hayden Hishaw,James Duval,Robert Davi,Dee Wallace,Ilia Volok,Ricco Ross",[182]
31,Young Woman and the Sea,Walt Disney Pictures/Jerry Bruckheimer Films,"Joachim Rønning(director);Jeff Nathanson(screenplay);Daisy Ridley,Tilda Cobham-Hervey,Stephen Graham,Kim Bodnia,Christopher Eccleston,Glenn Fleshler",[183]
JUNE,5,Boneyard,Lionsgate,"Asif Akbar (director/screenplay); Vincent E. McDaniel, Hank Byrd, Koji Steven Sakai (screenplay);Mel Gibson,Curtis Jackson,Brian Van Holt,Nora Zehetner,Gabrielle Haugh"
6,Am I OK?,Max/Warner Bros. Pictures/Gloria Sanchez Productions,"Tig Notaro,Stephanie Allynne(directors); Lauren Pomerantz (screenplay);Dakota Johnson,Sonoya Mizuno,Jermaine Fowler,Kiersey Clemons,Molly Gordon,June Diane Raphael, Tig Notaro,Sean Hayes",[193]
7,Bad Boys: Ride or Die,Columbia Pictures/Jerry Bruckheimer Films/Westbrook Studios/TSG Entertainment,"Adil and Bilall(directors); Chris Bremner,Will Beall(screenplay);Will Smith,Martin Lawrence,Vanessa Hudgens,Alexander Ludwig,Paola Núñez,Eric Dane,Ioan Gruffudd,Jacob Scipio,Melanie Liburd,Tasha Smith,Tiffany Haddish,Joe Pantoliano",[194]
11,Killer of Men,Quiver Distribution,"Tzvi (director/screenplay); Jon Peterson, Stacie Brown, Paquito G. Myers, Noah Forrest, Sergio Beltran",[201]
14,Inside Out 2,Walt Disney Pictures/Pixar Animation Studios,"Kelsey Mann(director);Meg LeFauve, Dave Holstein (screenplay);Amy Poehler,Maya Hawke, Kensington Tallman,Liza Lapira,Tony Hale,Lewis Black,Phyllis Smith,Ayo Edebiri,Lilimar, Grace Lu, Sumayyah Nuriddin-Green,Adèle Exarchopoulos,Diane Lane,Kyle MacLachlan,Paul Walter Hauser",[202]
21,The Bikeriders,Focus Features/Regency Enterprises,"Jeff Nichols(director/screenplay);Jodie Comer,Austin Butler,Tom Hardy,Michael Shannon,Mike Faist,Boyd Holbrook,Damon Herriman,Beau Knapp,Emory Cohen,Karl Glusman,Toby Wallace,Norman Reedus",[210]
28,A Quiet Place: Day One,Paramount Pictures/Platinum Dunes/Sunday Night Productions,"Michael Sarnoski(director/screenplay);Lupita Nyong'o,Joseph Quinn,Alex Wolff,Djimon Hounsou",[167]
JULY,2,Little Deaths,Entertainment Squad,"Brian Follmer (director/screenplay); Kerri Lee Romeo, Adam Leotta, Brian Follmer, Nicole Alibayof"
3,Despicable Me 4,Universal Pictures/Illumination,"Chris Renaud(director);Mike White,Ken Daurio(screenplay);Steve Carell,Kristen Wiig,Joey King,Miranda Cosgrove,Stephen Colbert,Sofia Vergara,Chloe Fineman,Steve Coogan,Will Ferrell",[229]
4,Sound of Hope: The Story of Possum Trot,Angel Studios/DailyWire+,"Joshua Weigel (director/screenplay); Rebekah Weigel (screenplay);Elizabeth Mitchell,Demetrius Grosse, Carlos Aviles,Nika King,Sarah Hudson",[231]
5,MaXXXine,A24/Access Entertainment,"Ti West(director/screenplay);Mia Goth,Elizabeth Debicki,Moses Sumney,Michelle Monaghan,Bobby Cannavale,Halsey,Lily Collins,Giancarlo Esposito,Kevin Bacon",[233]
9,Exposure,Gravitas Ventures,"Peter Cannon (director/screenplay);Douglas Smith,Margo Harshman, Abraham Rodriguez,Ryan Whitney, Alex Feldman, Kevin McCorkle, Gary Poux, Chanel Minnifield",[238]
11,Divorce in the Black,Amazon Prime Video/Tyler Perry Studios,"Tyler Perry(director/screenplay);Meagan Good,Cory Hardrict, Joseph Lee Anderson,Taylor Polidore, Shannon Wallace,Richard Lawson,Debbi Morgan",[240]
