Title,Director,Cast,Genre,Release Date
12,Fly Me to the Moon,Columbia Pictures/Apple Studios,"Greg Berlanti(director); Rose Gilroy (screenplay);Scarlett Johansson,Channing Tatum,Jim Rash, Anna Garcia, Donald Elise Watkins,Noah Robbins,Colin Woodell, Christian Zuber, Nick Dillenburg,Ray Romano,Woody Harrelson",[241]
18,My Spy: The Eternal City,Amazon MGM Studios/STXfilms/MWM Studios,"Peter Segal(director/screenplay); Erich Hoeber, Jon Hoeber (screenplay);Dave Bautista,Chloe Coleman,Kristen Schaal,Flula Borg,Craig Robinson,Anna Faris,Ken Jeong",[249]
19,Twisters,Universal Pictures/Warner Bros. Pictures/Amblin Entertainment,"Lee Isaac Chung(director);Mark L. Smith(screenplay);Daisy Edgar-Jones,Glen Powell,Anthony Ramos,Brandon Perea,Maura Tierney,Sasha Lane",[250]
20,Lumina,Goldove / Luminamovie LLC,"Gino J.H. McKoy(director/screenplay);Eric Roberts,Ken Lawson, Emily Hall, Rupert Lazarus, Eleanor Williams, Andrea Tividar, Sidney Nicole Rogers",[258]
23,The Good Half,Utopia,"Robert Schwartzman(director); Brett Ryland (screenplay);Nick Jonas,Brittany Snow,David Arquette,Alexandra Shipp,Matt Walsh,Elisabeth Shue",[259]
26,Deadpool & Wolverine,Marvel Studios/Maximum Effort/21 Laps Entertainment,"Shawn Levy(director/screenplay);Ryan Reynolds,Rhett Reese,Paul Wernick,Zeb Wells(screenplay); Ryan Reynolds,Hugh Jackman,Emma Corrin,Morena Baccarin,Rob Delaney,Leslie Uggams,Aaron Stanford,Matthew Macfadyen",[260]
31,The Duel,Lionsgate/Grindstone Entertainment Group,"Justin Matthews, Luke Spencer Roberts (director/screenplay);Dylan Sprouse,Callan McAuliffe,Denny Love, Hart Denton,María Gabriela de Faría,Rachel Matthews,Christian McGaffney,Ronald Guttman,Patrick Warburton",[266]
AUGUST,2,Trap,Warner Bros. Pictures/Blinding Edge Pictures,"M. Night Shyamalan(director/screenplay);Josh Hartnett, Ariel Donoghue,Saleka Shyamalan,Hayley Mills,Alison Pill"
5,Trust in Love,Gravitas Ventures,"Mick Davis(director);Jimi Petulla(screenplay); Jimi Petulla, Sydney Bullock, Logan Arditty, Natasha Wilson,Eric Roberts, Tim Hazelip,Miljenko Matijevic,Robby Krieger",[275]
8,One Fast Move,Amazon MGM Studios,"Kelly Blatz(director/screenplay);KJ Apa,Eric Dane,Maia Reficco,Edward James Olmos,Austin North",[276]
9,It Ends with Us,Columbia Pictures/Wayfarer Studios/TSG Entertainment,"Justin Baldoni(director); Christy Hall (screenplay);Blake Lively, Justin Baldoni,Jenny Slate,Hasan Minhaj,Kevin McKidd,Amy Morton,Alex Neustaedter, Isabela Ferrer,Brandon Sklenar",[277]
13,Watchmen Chapter I,Warner Bros. Animation/DC Entertainment,"Brandon Vietti(director);J. Michael Straczynski(screenplay);Matthew Rhys,Katee Sackhoff,Titus Welliver,Troy Baker,Rick D. Wasserman,Adrienne Barbeau,Jeffrey Combs,Geoff Pierson,Corey Burton,John Marshall Jones,Yuri Lowenthal,Kari Wahlgren,Grey DeLisle,Kelly Hu,Max Koch,Phil LaMarr,Dwight Schultz,Jason Spisak",[283]
15,Jackpot!,Amazon MGM Studios/Roth/Kirschenbaum Films,"Paul Feig(director); Rob Yescombe (screenplay);John Cena,Awkwafina,Simu Liu",[284]
16,Alien: Romulus,20th Century Studios/Scott Free Productions/Brandywine Productions,"Fede Álvarez(director/screenplay);Rodo Sayagues(screenplay);Cailee Spaeny,David Jonsson,Archie Renaux,Isabela Merced,Spike Fearn, Aileen Wu",[285]
20,The Clean Up Crew,Saban Films,"Jon Keeyes(director); Matthew Rogers (screenplay);Jonathan Rhys Meyers,Melissa Leo,Antonio Banderas, Ekaterina Baker,Laurence Kinlan,Andy Kellegher",[293]
21,Stream,Iconic Events Releasing/ Fuzz on the Lens Productions,"Michael Leavy (director/screenplay); Steven Della Salla, Jason Leavy, Robert Privitera (screenplay); Charles Edwin Powell,Danielle Harris,Jeffrey Combs,Dee Wallace,Tim Reid,Mark Holton,Felissa Rose,Tony Todd,Daniel Roebuck,Dave Sheridan,Terry Alexander,David Howard Thornton,Damian Maffei",[294]
23,Blink Twice,Metro-Goldwyn-Mayer/Free Association,"Zoë Kravitz(director/screenplay); E.T. Feigenbaum (screenplay);Naomi Ackie,Channing Tatum,Christian Slater,Simon Rex,Adria Arjona,Kyle MacLachlan,Haley Joel Osment,Geena Davis,Alia Shawkat",[295]
27,The Exorcism of Saint Patrick,Cranked Up Films,"Quinn Armstrong (director/screenplay); Steve Pinder, Michael J. Cline, Maya Jeyam, Caitlin McWethy, Alan Tyson, Louie Kurtzman, Andrew James Myers, Erik Donley, Beau Roberts",[308]
30,Afraid,Columbia Pictures/Blumhouse Productions,"Chris Weitz(director/screenplay);John Cho,Katherine Waterston,Havana Rose Liu,Lukita Maxwell,David Dastmalchian,Keith Carradine",[309]
SEPTEMBER,3,Wolves Against the World,Good Deed Entertainment,"Quinn Armstrong (director/screenplay); Michael Kunicki, Quinn Armstrong, Jordan Mullins, Jim Azelvandre, Louie Kurtzman, Eric Six,Jacob Southwick"
6,Beetlejuice Beetlejuice,Warner Bros. Pictures/Plan B Entertainment/Tim Burton Productions/The Geffen Company,"Tim Burton(director);Alfred Gough,Miles Millar(screenplay);Michael Keaton,Winona Ryder,Catherine O'Hara,Justin Theroux,Monica Bellucci,Jenna Ortega,Willem Dafoe",[318]
10,Dead Teenagers,Good Deed Entertainment,"Quinn Armstrong (director/screenplay); Jordan Myers, Maya Jeyam, Tony White, Mary Charles Miller, Angel Ray, Chris Hahn, Beau Roberts",[308]
13,Speak No Evil,Universal Pictures/Blumhouse Productions,"James Watkins(director/screenplay);James McAvoy,Mackenzie Davis,Aisling Franciosi, Alix West Lefler, Dan Hough,Scoot McNairy",[326]
20,Transformers One,Paramount Pictures/Hasbro Entertainment/New Republic Pictures/Di Bonaventura Pictures,"Josh Cooley(director);Eric Pearson, Andrew Barrer, Gabriel Ferrari (screenplay);Chris Hemsworth,Brian Tyree Henry,Scarlett Johansson,Keegan-Michael Key,Steve Buscemi,Laurence Fishburne,Jon Hamm",[336]
24,Kill 'Em All 2,Destination Films,"Valeri Milev(director); James Agnew (screenplay);Jean-Claude Van Damme,Jacqueline Fernandez,Peter Stormare,María Conchita Alonso",[344]
26,Killer Heat,Amazon Prime Video,"Philippe Lacôte(director);Roberto Bentivegna,Matt Charman(screenplay);Joseph Gordon-Levitt,Shailene Woodley,Richard Madden",[346]
27,The Wild Robot,Universal Pictures/DreamWorks Animation,"Chris Sanders(director/screenplay);Lupita Nyong'o,Pedro Pascal,Kit Connor,Bill Nighy,Stephanie Hsu,Mark Hamill,Catherine O'Hara,Matt Berry,Ving Rhames",[347]
OCTOBER,1,Another Happy Day,Gravitas Ventures,"Nora Fiffer (director/screenplay);Lauren Lapkus, Marilyn Dodds Frank, Jean Elie,Carrie Coon"
3,'Salem's Lot,Max/New Line Cinema/Atomic Monster/Vertigo Entertainment,"Gary Dauberman(director/screenplay);Lewis Pullman,Makenzie Leigh,Alfre Woodard,John Benjamin Hickey,Bill Camp, Jordan Preston Carter, Nicholas Crovetti,Spencer Treat Clark,William Sadler,Pilou Asbæk",[359]
4,Joker: Folie à Deux,Warner Bros. Pictures/DC Entertainment,"Todd Phillips(director/screenplay);Scott Silver(screenplay);Joaquin Phoenix,Lady Gaga,Brendan Gleeson,Catherine Keener,Zazie Beetz,Steve Coogan,Harry Lawtey,Leigh Gill",[361]
7,Hellboy: The Crooked Man,Ketchup Entertainment/Millennium Media/Dark Horse Entertainment,"Brian Taylor(director/screenplay);Christopher Golden,Mike Mignola(screenplay);Jack Kesy,Jefferson White,Adeline Rudolph",[369]
10,Brothers,Amazon MGM Studios/Legendary Entertainment,"Max Barbakow(director);Macon Blair(screenplay);Josh Brolin,Peter Dinklage,Glenn Close,Marisa Tomei,Brendan Fraser",[370]
11,Terrifier 3,Cineverse,"Damien Leone(director/screenplay);Lauren LaVera, Elliot Fullam,Samantha Scaffidi,David Howard Thornton",[372]
15,9 Windows,Gravitas Ventures,"Lou Simon (director/screenplay);William Forsythe,Michael Paré",[380]
18,Smile 2,Paramount Pictures/Temple Hill Entertainment,"Parker Finn(director/screenplay);Naomi Scott,Rosemarie DeWitt,Lukas Gage,Miles Gutierrez-Riley,Peter Jacobson,Ray Nicholson,Dylan Gelula,Raúl Castillo,Kyle Gallner",[14]
22,To Fall in Love,Gravitas Ventures,"Michael Lewis Foster(director);Jennifer Lane(screenplay);Beth Gallagher,Eric Casalini, Reese Lily Buell",[387]
24,Canary Black,Amazon MGM Studios,"Pierre Morel(director); Matthew Kennedy (screenplay);Kate Beckinsale,Rupert Friend,Ray Stevenson,Saffron Burrows,Goran Kostić,Ben Miles",[346]
25,Venom: The Last Dance,Columbia Pictures/Marvel Entertainment/Arad Productions/Pascal Pictures/Hardy Son & Baker/TSG Entertainment,"Kelly Marcel(director/screenplay);Tom Hardy,Chiwetel Ejiofor,Juno Temple,Rhys Ifans,Peggy Lu,Alanna Ubach,Stephen Graham",[388]
29,Amityville: Where the Echo Lives,Lionsgate,"Carlos Ayala (director/screenplay); Sarah McDonald, Breanna Rossi, Adela Perez, Nicholas J. Barelli, Hector De Alva, Eugenia Preciado, Adelina Topleva, Olya Marynets, Simona Curkoska",[398]
30,Time Cut,Netflix,"Hannah Macpherson (director/screenplay);Michael Kennedy(screenplay);Madison Bailey,Antonia Gentry,Griffin Gluck",[383]
NOVEMBER,1,Here,TriStar Pictures/Miramax/ImageMovers,"Robert Zemeckis(director/screenplay);Eric Roth(screenplay);Tom Hanks,Robin Wright,Paul Bettany,Kelly Reilly,Michelle Dockery"
6,Meet Me Next Christmas,Netflix,"Rusty Cundieff(director); Molly Halderman, Camilla Rubis (screenplay);Christina Milian,Devale Ellis,Kofi Siriboe",[383]
7,A Sudden Case of Christmas,Shout! Studios,"Peter Chelsom(director/screenplay); Tinker Lindsay, Gianluca Bomprezzi,Neri Parenti, Federico Baccomo, Francesco Patierno (screenplay);Danny DeVito,Andie MacDowell,Wilmer Valderrama,Lucy DeVito",[408]
8,Heretic,A24,"Scott Beck, Bryan Woods(directors/screenplay);Hugh Grant,Sophie Thatcher,Chloe East",[409]
12,It's Coming,Early Autumn /Freestyle Digital Media,Shannon Alexander (director/producer),[415]
13,Hot Frosty,Netflix/Muse Entertainment,"Jerry Ciccoritti (director); Russell Hainline (screenplay);Lacey Chabert,Dustin Milligan,Craig Robinson,Joe Lo Truglio,Katy Mixon,Lauren Holly,Chrishell Stause",[383]
15,Red One,Metro-Goldwyn-Mayer/Seven Bucks Productions,"Jake Kasdan(director);Chris Morgan(screenplay);Dwayne Johnson,Chris Evans,Lucy Liu,J.K. Simmons,Kiernan Shipka,Bonnie Hunt,Kristofer Hivju,Nick Kroll",[416]
19,Swap,Red Rabbit Pictures / Tru Diamond Entertainment,"Dallas King (director/screenplay); Jessica Leila Greene, James Eastwood, Erin Anne Gray",[419]
20,The Merry Gentlemen,Netflix,"Peter Sullivan(director);Marla Sokoloff(screenplay);Britt Robertson,Chad Michael Murray, Marla Sokoloff,Beth Broderick,Michael Gross,Maxwell Caulfield",[383]
22,Wicked,Universal Pictures/Marc Platt Productions,"Jon M. Chu(director);Winnie Holzman,Dana Fox(screenplay);Cynthia Erivo,Ariana Grande,Jonathan Bailey,Ethan Slater,Bowen Yang,Marissa Bode,Peter Dinklage,Michelle Yeoh,Jeff Goldblum",[420]
25,Dear Santa,Paramount+/Paramount Pictures/Conundrum Entertainment,"Bobby Farrelly(director);Ricky Blitt,Peter Farrelly(screenplay);Jack Black,Keegan-Michael Key, Robert Timothy Smith,Brianne Howey,Hayes MacArthur,Post Malone,P. J. Byrne",[427]
26,Watchmen Chapter II,Warner Bros. Animation/Paramount Pictures/DC Entertainment,"Brandon Vietti(director);J. Michael Straczynski(screenplay);Matthew Rhys,Katee Sackhoff,Titus Welliver,Troy Baker,Rick D. Wasserman,Adrienne Barbeau,Jeffrey Combs,Geoff Pierson,Corey Burton,John Marshall Jones,Yuri Lowenthal,Kari Wahlgren,Grey DeLisle,Kelly Hu,Max Koch,Phil LaMarr,Dwight Schultz,Jason Spisak",[428]
27,Moana 2,Walt Disney Pictures/Walt Disney Animation Studios,"David Derrick Jr.(director/screenplay);Jared Bush, Dana Ledoux Miller (screenplay);Auli'i Cravalho,Dwayne Johnson, Hualālai Chung,Rose Matafeo,David Fane, Awhimai Fraser, Khaleesi Lambert-Tsuda,Temuera Morrison,Nicole Scherzinger,Rachel House, Gerald Ramsey,Alan Tudyk",[431]
28,Sweethearts,Max/New Line Cinema,"Jordan Weiss(director/screenplay); Dan Brier (screenplay);Kiernan Shipka,Nico Hiraga,Caleb Hearon,Tramell Tillman,Charlie Hall, Ava DeMary,Joel Kim Booster,Christine Taylor",[434]
29,Nutcrackers,Hulu/Rough House Pictures,"David Gordon Green(director); Leland Douglas (screenplay);Ben Stiller,Linda Cardellini,Edi Patterson,Tim Heidecker,Toby Huss",[435]
DECEMBER,4,That Christmas,Netflix Animation/Locksmith Animation/DNEG Animation,"Simon Otto(director);Richard CurtisandPeter Souter(screenplay);Brian Cox,Fiona Shaw,Jodie WhittakerandBill Nighy(cast leaders)"
6,Y2K,A24,"Kyle Mooney(director/screenplay); Evan Winter (screenplay);Jaeden Martell,Julian Dennison,Rachel Zegler,Lachlan Watson,The Kid Laroi,Mason Gooding,Fred Durst,Alicia Silverstone",[436]
13,Kraven the Hunter,Columbia Pictures/Marvel Entertainment/TSG Entertainment II/Arad Productions,"J. C. Chandor(director);Richard Wenk,Art Marcum, Matt Holloway(screenplay);Aaron Taylor-Johnson,Ariana DeBose,Fred Hechinger,Alessandro Nivola,Christopher Abbott,Russell Crowe",[309]
17,The Little Mermaid,Lionsgate,"Leigh Scott (director/screenplay); Mike Markoff, Jeff Denton, Samuel Selman, Sean Michael Argo, Winston Crooke, Steven Yniguez, Manon Laurent, Lydia Helen",[452]
20,Mufasa: The Lion King,Walt Disney Pictures,"Barry Jenkins(director);Jeff Nathanson(screenplay);Aaron Pierre,Kelvin Harrison Jr.,John Kani,Seth Rogen,Billy Eichner,Tiffany Boone,Donald Glover,Mads Mikkelsen,Thandiwe Newton,Lennie James,Anika Noni Rose,Blue Ivy Carter,Beyoncé Knowles-Carter",[260]
25,Nosferatu,Focus Features/Maiden Voyage Pictures/Studio 8,"Robert Eggers(director/screenplay);Bill Skarsgård,Nicholas Hoult,Lily-Rose Depp,Aaron Taylor-Johnson,Emma Corrin,Ralph Ineson,Simon McBurney,Willem Dafoe",[456]
27,Bloody Axe Wound,Shudder/RLJE Films,"Matthew John Lawrence (director/screenplay);Molly Brown,Jeffrey Dean Morgan,Billy Burke",[462]
